postcode,urban_code,grade
CF103FA,C1,3
CF103FD,C1,3
CF103FG,C1,2
CF103FN,C1,3
CF103GA,C1,3
CF103HA,C1,3
CF103HH,C1,3
CF103LN,C1,3
CF103NB,C1,4
CF103ND,C1,4
CF103NL,C1,4
CF103NN,C1,4
CF103NP,C1,4
CF103NQ,C1,4
CF103NS,C1,4
CF103PG,C1,4
CF103PL,C1,3
CF103PW,C1,3
CF103QN,C1,4
CF103RB,C1,3
CF103RJ,C1,3
CF103RL,C1,4
CF103RS,C1,3
CF103SE,C1,4
CF103SG,C1,3
CF103SX,C1,3
CF103TA,C1,2
CF103TB,C1,2
CF103TL,C1,2
CF103TS,C1,2
CF103TT,C1,2
CF103TU,C1,2
CF103TY,C1,2
CF103UA,C1,2
CF103UB,C1,4
CF103UD,C1,3
CF103UL,C1,2
CF103UN,C1,3
CF103UP,C1,3
CF103UW,C1,2
CF103UY,C1,2
CF103WA,C1,4
CF103WD,C1,2
CF103WE,C1,2
CF103WF,C1,2
CF103WG,C1,3
CF103WJ,C1,2
CF103WL,C1,3
CF103WN,C1,2
CF103WP,C1,2
CF103WT,C1,4
CF103WU,C1,3
CF103WX,C1,2
CF103XA,C1,2
CF103XD,C1,2
CF103XE,C1,2
CF103XH,C1,2
CF103XL,C1,2
CF103XN,C1,2
CF103XP,C1,2
CF103XQ,C1,2
CF103XR,C1,2
CF103XS,C1,2
CF103XU,C1,2
CF103XW,C1,2
CF103XZ,C1,2
CF103YA,C1,2
CF103YD,C1,2
CF103YE,C1,2
CF103YF,C1,2
CF103YJ,C1,2
CF103YN,C1,2
CF103YQ,C1,2
CF103YY,C1,2
CF103YZ,C1,2
CF103ZF,C1,3
CF103ZG,C1,2
CF103ZH,C1,2
CF103ZP,C1,2
CF103ZR,C1,2
CF103ZS,C1,2
CF103ZT,C1,2
CF103ZW,C1,2
CF103ZX,C1,2
CF104AB,C1,3
CF104AE,C1,3
CF104AF,C1,3
CF104AG,C1,2
CF104AH,C1,3
CF104AJ,C1,3
CF104AL,C1,3
CF104AN,C1,2
CF104AP,C1,3
CF104AQ,C1,2
CF104AR,C1,2
CF104AS,C1,2
CF104AT,C1,2
CF104AU,C1,2
CF104AW,C1,2
CF104AX,C1,1
CF104AZ,C1,2
CF104BA,C1,3
CF104BB,C1,4
CF104BD,C1,2
CF104BE,C1,3
CF104BH,C1,3
CF104BJ,C1,3
CF104BL,C1,3
CF104BN,C1,3
CF104BP,C1,2
CF104BR,C1,3
CF104BS,C1,3
CF104BT,C1,3
CF104BU,C1,3
CF104BW,C1,3
CF104BX,C1,3
CF104BY,C1,2
CF104BZ,C1,2
CF104DA,C1,2
CF104DB,C1,2
CF104DD,C1,2
CF104DE,C1,3
CF104DF,C1,6
CF104DH,C1,3
CF104DJ,C1,1
CF104DL,C1,3
CF104DN,C1,3
CF104DP,C1,3
CF104DQ,C1,1
CF104DR,C1,4
CF104DU,C1,3
CF104DW,C1,3
CF104DX,C1,3
CF104DY,C1,3
CF104DZ,C1,3
CF104EA,C1,4
CF104EB,C1,3
CF104ED,C1,4
CF104EE,C1,4
CF104EG,C1,3
CF104EJ,C1,3
CF104EL,C1,3
CF104EP,C1,3
CF104EQ,C1,3
CF104EU,C1,4
CF104EW,C1,5
CF104FB,C1,2
CF104FD,C1,2
CF104FG,C1,3
CF104GA,C1,2
CF104HB,C1,3
CF104HD,C1,3
CF104HF,C1,3
CF104HG,C1,3
CF104JA,C1,2
CF104JB,C1,2
CF104JD,C1,2
CF104JE,C1,2
CF104JF,C1,2
CF104JY,C1,1
CF104LA,C1,3
CF104LB,C1,2
CF104LG,C1,2
CF104LJ,C1,6
CF104LL,C1,3
CF104LN,C1,2
CF104LQ,C1,6
CF104LT,C1,3
CF104LU,C1,4
CF104LW,C1,3
CF104LX,C1,4
CF104LY,C1,4
CF104LZ,C1,6
CF104NF,C1,3
CF104NG,C1,3
CF104NH,C1,3
CF104NJ,C1,3
CF104NL,C1,4
CF104NN,C1,4
CF104NP,C1,1
CF104NQ,C1,1
CF104NR,C1,1
CF104NS,C1,1
CF104PA,C1,1
CF104PB,C1,1
CF104PD,C1,1
CF104PE,C1,1
CF104PH,C1,1
CF104PJ,C1,1
CF104PL,C1,1
CF104PZ,C1,1
CF104QH,C1,1
CF104QL,C1,2
CF104QP,C1,1
CF104QQ,C1,1
CF104RA,C1,1
CF104RB,C1,1
CF104RD,C1,1
CF104RE,C1,1
CF104RF,C1,1
CF104RG,C1,1
CF104RH,C1,1
CF104RP,C1,4
CF104RT,C1,2
CF104RU,C1,1
CF104SF,C1,3
CF104SP,C1,6
CF104TR,C1,5
CF104TS,C1,5
CF104TT,C1,3
CF104UP,C1,2
CF104US,C1,5
CF104UU,C1,5
CF104UW,C1,2
CF104WL,C1,2
CF104WN,C1,2
CF104WQ,C1,2
CF104WR,C1,2
CF104WS,C1,2
CF104WZ,C1,1
CF104XR,C1,2
CF104XZ,C1,6
CF104ZA,C1,2
CF104ZN,C1,2
CF105AB,C1,1
CF105AD,C1,1
CF105AE,C1,2
CF105AF,C1,1
CF105AG,C1,1
CF105AH,C1,1
CF105AJ,C1,1
CF105AL,C1,1
CF105AN,C1,1
CF105AP,C1,2
CF105AQ,C1,1
CF105AR,C1,1
CF105AU,C1,3
CF105AX,C1,3
CF105AY,C1,1
CF105AZ,C1,1
CF105BB,C1,2
CF105BD,C1,3
CF105BE,C1,3
CF105BF,C1,2
CF105BG,C1,4
CF105BH,C1,2
CF105BJ,C1,3
CF105BL,C1,3
CF105BN,C1,1
CF105BP,C1,1
CF105BQ,C1,3
CF105BR,C1,2
CF105BS,C1,2
CF105BT,C1,1
CF105BU,C1,2
CF105BW,C1,2
CF105BX,C1,1
CF105BY,C1,2
CF105BZ,C1,1
CF105DB,C1,1
CF105DE,C1,1
CF105DF,C1,3
CF105DJ,C1,2
CF105DL,C1,2
CF105DN,C1,2
CF105DP,C1,2
CF105DQ,C1,2
CF105DR,C1,2
CF105DS,C1,2
CF105DT,C1,2
CF105DU,C1,2
CF105DW,C1,2
CF105DX,C1,2
CF105DY,C1,3
CF105DZ,C1,3
CF105EA,C1,2
CF105EB,C1,2
CF105EE,C1,2
CF105EF,C1,2
CF105EL,C1,2
CF105EN,C1,1
CF105EP,C1,2
CF105EQ,C1,1
CF105ER,C1,1
CF105ES,C1,2
CF105EW,C1,3
CF105EX,C1,2
CF105EY,C1,2
CF105EZ,C1,2
CF105FA,C1,3
CF105FB,C1,3
CF105FE,C1,4
CF105FF,C1,3
CF105FG,C1,3
CF105FH,C1,2
CF105FJ,C1,2
CF105FL,C1,2
CF105FP,C1,3
CF105FQ,C1,2
CF105FR,C1,3
CF105FS,C1,3
CF105FT,C1,1
CF105FW,C1,3
CF105FX,C1,3
CF105FY,C1,3
CF105FZ,C1,3
CF105GA,C1,3
CF105GB,C1,3
CF105GE,C1,3
CF105GF,C1,4
CF105GG,C1,3
CF105GJ,C1,3
CF105GL,C1,1
CF105GN,C1,3
CF105GP,C1,2
CF105GQ,C1,3
CF105GR,C1,4
CF105GS,C1,3
CF105GT,C1,4
CF105GU,C1,4
CF105GW,C1,3
CF105GX,C1,3
CF105HA,C1,2
CF105HB,C1,2
CF105HE,C1,2
CF105HF,C1,3
CF105HG,C1,2
CF105HH,C1,2
CF105HJ,C1,2
CF105HL,C1,3
CF105HN,C1,3
CF105HP,C1,3
CF105HQ,C1,3
CF105HR,C1,3
CF105HS,C1,3
CF105HU,C1,2
CF105HW,C1,3
CF105HX,C1,3
CF105HY,C1,3
CF105HZ,C1,3
CF105JA,C1,4
CF105JB,C1,3
CF105JD,C1,3
CF105JE,C1,3
CF105JF,C1,4
CF105JG,C1,4
CF105JH,C1,4
CF105JJ,C1,4
CF105JL,C1,4
CF105JP,C1,3
CF105JR,C1,3
CF105JT,C1,3
CF105JU,C1,3
CF105JW,C1,3
CF105JY,C1,4
CF105LB,C1,3
CF105LD,C1,2
CF105LE,C1,2
CF105LF,C1,2
CF105LG,C1,2
CF105LH,C1,2
CF105LJ,C1,1
CF105LL,C1,2
CF105LP,C1,3
CF105LQ,C1,2
CF105LR,C1,2
CF105NB,C1,2
CF105ND,C1,3
CF105NE,C1,3
CF105NF,C1,3
CF105NG,C1,3
CF105NH,C1,3
CF105NJ,C1,3
CF105NL,C1,3
CF105NN,C1,3
CF105NP,C1,4
CF105NQ,C1,4
CF105NR,C1,3
CF105NS,C1,4
CF105NT,C1,4
CF105NU,C1,3
CF105NW,C1,3
CF105NX,C1,4
CF105NY,C1,3
CF105NZ,C1,4
CF105PE,C1,1
CF105RA,C1,2
CF105RD,C1,2
CF105RS,C1,2
CF105RY,C1,1
CF105SD,C1,3
CF105SF,C1,2
CF105SG,C1,2
CF105TG,C1,2
CF105TY,C1,2
CF105UY,C1,4
CF105WA,C1,2
CF105WB,C1,2
CF105WD,C1,2
CF105WE,C1,2
CF105WN,C1,2
CF105WY,C1,2
CF105WZ,C1,2
CF105XR,C1,2
CF105YF,C1,2
CF105YT,C1,2
CF105YX,C1,2
CF105ZA,C1,2
CF105ZB,C1,2
CF105ZJ,C1,2
CF105ZQ,C1,2
CF110AA,C1,6
CF110AB,C1,6
CF110AD,C1,6
CF110AE,C1,6
CF110AF,C1,6
CF110AG,C1,6
CF110AH,C1,6
CF110AJ,C1,6
CF110AL,C1,6
CF110AN,C1,6
CF110AP,C1,6
CF110AQ,C1,6
CF110AR,C1,6
CF110AS,C1,6
CF110AT,C1,6
CF110AU,C1,6
CF110AW,C1,6
CF110AX,C1,6
CF110AY,C1,6
CF110AZ,C1,6
CF110BA,C1,6
CF110JA,C1,3
CF110JB,C1,6
CF110JD,C1,6
CF110JE,C1,6
CF110JF,C1,6
CF110JG,C1,6
CF110JH,C1,6
CF110JJ,C1,6
CF110JL,C1,5
CF110JN,C1,6
CF110JP,C1,6
CF110JQ,C1,6
CF110JR,C1,5
CF110JS,C1,6
CF110JT,C1,6
CF110JU,C1,6
CF110JW,C1,5
CF110JX,C1,5
CF110JY,C1,5
CF110JZ,C1,5
CF110LA,C1,6
CF110LB,C1,6
CF110LD,C1,6
CF110LE,C1,6
CF110LF,C1,6
CF110SA,C1,6
CF110SB,C1,6
CF110SD,C1,6
CF110SE,C1,6
CF110SF,C1,6
CF110SG,C1,6
CF110SH,C1,6
CF110SJ,C1,6
CF110SN,C1,6
CF110SR,C1,6
CF110SW,C1,6
CF110SY,C1,5
CF110WZ,C1,2
CF110XR,C1,2
CF111AA,C1,2
CF111AU,C1,2
CF111BP,C1,2
CF111BR,C1,2
CF111BU,C1,2
CF111BW,C1,2
CF111BZ,C1,2
CF111DA,C1,2
CF111DB,C1,2
CF111DE,C1,2
CF111EB,C1,2
CF111EH,C1,2
CF111EJ,C1,2
CF111EQ,C1,2
CF111EX,C1,2
CF111FJ,C1,2
CF111FP,C1,2
CF111FT,C1,2
CF111GN,C1,2
CF111GW,C1,2
CF111HP,C1,2
CF111JA,C1,2
CF111JE,C1,2
CF111JT,C1,2
CF111JX,C1,2
CF111LJ,C1,2
CF111NA,C1,2
CF111NB,C1,2
CF111NF,C1,2
CF111NH,C1,2
CF111NX,C1,2
CF111PN,C1,2
CF111QB,C1,2
CF111QD,C1,2
CF111QG,C1,2
CF111QN,C1,2
CF111QQ,C1,2
CF111RA,C1,2
CF111RG,C1,2
CF111RS,C1,2
CF111RT,C1,2
CF111RX,C1,2
CF111SA,C1,2
CF111SB,C1,2
CF111SF,C1,2
CF111TE,C1,2
CF111TF,C1,2
CF111TG,C1,2
CF111TJ,C1,2
CF111TQ,C1,2
CF111TW,C1,2
CF111UA,C1,2
CF111UE,C1,2
CF111UF,C1,2
CF111UH,C1,2
CF111UJ,C1,2
CF111UL,C1,2
CF111UN,C1,2
CF111UP,C1,2
CF111UQ,C1,2
CF111UR,C1,2
CF111US,C1,2
CF111UT,C1,2
CF111UU,C1,2
CF111UW,C1,2
CF111UX,C1,2
CF111UY,C1,2
CF111YB,C1,2
CF111YH,C1,2
CF111YL,C1,2
CF111YN,C1,2
CF111YP,C1,2
CF111YQ,C1,2
CF111YR,C1,2
CF111YS,C1,2
CF111YT,C1,2
CF111YU,C1,2
CF111YW,C1,2
CF111YX,C1,2
CF111YY,C1,2
CF111YZ,C1,2
CF111ZA,C1,2
CF111ZB,C1,2
CF111ZD,C1,2
CF111ZF,C1,2
CF111ZG,C1,2
CF111ZH,C1,2
CF111ZJ,C1,2
CF111ZL,C1,2
CF111ZN,C1,2
CF111ZP,C1,2
CF111ZQ,C1,2
CF111ZR,C1,2
CF111ZS,C1,2
CF111ZU,C1,2
CF111ZW,C1,2
CF111ZX,C1,2
